IDDeposito,FolioVenta,ID_PVenta,Subtotal,IVA,IEPS,Total,Fecha_Venta,Fecha_Deposito,Subtotal_Deposito,IVA_Deposito,IEPS_Deposito,Total_Deposito
1338,AZL31-209070,335163,450.0,0.0,0.0,450.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AVC47-87462,335227,450.0,0.0,0.0,450.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZY32-222664,335296,450.0,0.0,0.0,450.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD27-163612,336155,450.0,0.0,0.0,450.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZI20-162633,336727,450.0,0.0,0.0,450.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD12-163647,339071,425.0,0.0,0.0,425.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AVA02-91002,357549,1.5,0.0,0.0,1.5,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD10-163479,326060,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD10-163479,326062,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD10-163479,326064,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD10-163479,326066,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD10-163479,326068,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZO24-117132,326322,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZV53-122779,326434,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD47-163487,326607,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD47-163487,326608,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZS23-150965,326839,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZH49-153614,327277,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AVC20-87403,327463,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD27-163522,328641,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD27-163522,328643,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD27-163522,328644,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD27-163522,328645,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZB36-137054,328661,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AVA122737-90759,330808,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AVA122737-90759,330809,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AVC31-87438,332800,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZE08-145633,333763,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZH33-153683,334450,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZH33-153683,334452,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZH09-153698,336429,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZN21-140268,336719,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZH40-153703,336820,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZK25-126102,337860,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZE17-145679,337958,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZK25-126111,338337,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZS56-151060,338907,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZH53-153724,339458,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZB07-137186,342910,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZM26-139415,343104,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZO15-117269,344239,0.0,0.0,0.0,0.0,2023-06-30,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZK11-126196,346786,0.0,0.0,0.0,0.0,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZT43-191239,350943,0.0,0.0,0.0,0.0,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AVA48-90959,352313,0.0,0.0,0.0,0.0,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZK27-126290,354905,0.0,0.0,0.0,0.0,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AWX141823-169692,356027,0.0,0.0,0.0,0.0,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD04-163834,356658,0.0,0.0,0.0,0.0,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZU46-175956,357491,0.0,0.0,0.0,0.0,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD43-163844,358305,0.0,0.0,0.0,0.0,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZG06-159986,359854,0.0,0.0,0.0,0.0,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD42-163889,365219,0.0,0.0,0.0,0.0,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD42-163889,365220,0.0,0.0,0.0,0.0,2023-07-01,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZF25-156955,373974,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AVA10-91214,380232,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AVC43-87953,380269,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZR27-139128,385004,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZR27-139128,385005,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD25-164093,386200,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZX11-193771,386827,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZN58-140841,389029,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AVA17-91273,389609,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD52-164247,399563,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD52-164247,399564,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD52-164328,405921,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD52-164328,405922,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AVC13-88305,408575,0.0,0.0,0.0,0.0,2023-07-02,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZS39-151754,414068,0.0,0.0,0.0,0.0,2023-07-03,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AWW37-128687,418065,0.0,0.0,0.0,0.0,2023-07-03,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD49-164556,423636,0.0,0.0,0.0,0.0,2023-07-03,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD49-164556,423637,0.0,0.0,0.0,0.0,2023-07-03,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZU23-176751,425784,0.0,0.0,0.0,0.0,2023-07-03,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZV21-123707,426067,0.0,0.0,0.0,0.0,2023-07-03,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD53-164720,437083,0.0,0.0,0.0,0.0,2023-07-04,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AWW29-128969,444898,0.0,0.0,0.0,0.0,2023-07-04,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZF42-157759,445390,0.0,0.0,0.0,0.0,2023-07-04,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AWI03-160944,451602,0.0,0.0,0.0,0.0,2023-07-05,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZY56-224347,452343,0.0,0.0,0.0,0.0,2023-07-05,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZN10-141460,452444,0.0,0.0,0.0,0.0,2023-07-05,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZQ54-166482,460986,0.0,0.0,0.0,0.0,2023-07-05,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZZ14-112843,464015,0.0,0.0,0.0,0.0,2023-07-05,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZK32-127419,465421,0.0,0.0,0.0,0.0,2023-07-05,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZW49-221685,466358,0.0,0.0,0.0,0.0,2023-07-05,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZV45-124174,467787,0.0,0.0,0.0,0.0,2023-07-05,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZS23-152261,467973,0.0,0.0,0.0,0.0,2023-07-05,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZB18-138324,470678,0.0,0.0,0.0,0.0,2023-07-06,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZJ46-159801,472699,0.0,0.0,0.0,0.0,2023-07-06,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD27-165172,473154,0.0,0.0,0.0,0.0,2023-07-06,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD13-165177,473912,0.0,0.0,0.0,0.0,2023-07-06,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD13-165177,473914,0.0,0.0,0.0,0.0,2023-07-06,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD13-165177,473915,0.0,0.0,0.0,0.0,2023-07-06,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD13-165177,473916,0.0,0.0,0.0,0.0,2023-07-06,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD13-165177,473917,0.0,0.0,0.0,0.0,2023-07-06,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD31-165184,474246,0.0,0.0,0.0,0.0,2023-07-06,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD31-165184,474248,0.0,0.0,0.0,0.0,2023-07-06,2023-07-03,18123.07,784.96,86.25,18994.28
1338,AZD31-165184,474250,0.0,0.0,0.0,0.0,2023-07-06,2023-07-03,18123.07,784.96,86.25,18994.28
