deposit_id,deposit_fecha,deposit_subtotal,deposit_iva,deposit_ieps,deposit_total,sales_fecha,matched_subtotal,matched_iva,matched_ieps,matched_total,diff_subtotal,diff_iva,diff_ieps,diff_total,diff_total_abs,subtotal_precision_pct,iva_precision_pct,ieps_precision_pct,num_folios,strategy_used,tolerance_used,processing_time_seconds
57,2023-07-03,7590.57,0.0,0.0,7590.57,2023-06-28,7590.56,0.0,0.0,7590.56,0.009999999999308784,0.0,0.0,0.009999999999308784,0.009999999999308784,99.99986825758805,100.0,100.0,4,fast_greedy,1.0,0.19854450225830078
1536,2023-07-03,6658.0,0.0,0.0,6658.0,2023-06-22,6658.0,0.0,0.0,6658.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3,fast_greedy,1.0,0.35108470916748047
110,2023-07-03,1265.55,0.0,0.0,1265.55,2023-07-02,1265.56,0.0,0.0,1265.56,-0.009999999999990905,0.0,0.0,-0.009999999999990905,0.009999999999990905,100.00079017028169,100.0,100.0,2,fast_greedy,1.0,0.09852147102355957
70,2023-07-03,5559.31,0.0,0.0,5559.31,2023-06-30,5559.32,0.0,0.0,5559.32,-0.009999999999308784,0.0,0.0,-0.009999999999308784,0.009999999999308784,100.00017987843815,100.0,100.0,3,fast_greedy,1.0,0.14089107513427734
1,2023-07-03,41801.82,0.0,0.0,41801.82,2023-06-15,41801.82,0.0,0.0,41801.82,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,17,fast_greedy,1.0,2.0635268688201904
3283,2023-07-03,5818.17,0.0,0.0,5818.17,2023-06-27,5818.160000000001,0.0,0.0,5818.160000000001,0.009999999999308784,0.0,0.0,0.009999999999308784,0.009999999999308784,99.99982812465089,100.0,100.0,4,fast_greedy,1.0,0.24088335037231445
27,2023-07-03,12687.42,0.0,0.0,12687.42,2023-06-27,12687.42,0.0,0.0,12687.42,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,8,fast_greedy,1.0,0.32209157943725586
1453,2023-07-03,13720.0,0.0,0.0,13720.0,2023-07-02,13720.0,0.0,0.0,13720.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,9,fast_greedy,1.0,0.18157529830932617
26,2023-07-03,12872.88,0.0,0.0,12872.88,2023-06-28,12872.880000000001,0.0,0.0,12872.880000000001,-1.8189894035458565e-12,0.0,0.0,-1.8189894035458565e-12,1.8189894035458565e-12,100.00000000000003,100.0,100.0,7,fast_greedy,1.0,0.3288145065307617
68,2023-07-03,5848.7,0.0,0.0,5848.7,2023-06-28,5848.7,0.0,0.0,5848.7,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,4,fast_greedy,1.0,0.21268773078918457
