IDDeposito,FolioVenta,ID_PVenta,Subtotal,IVA,IEPS,Total,Fecha_Venta,Fecha_Deposito,Subtotal_Deposito,IVA_Deposito,IEPS_Deposito,Total_Deposito
1596,AZE41-145841,351193,1194.8275862068967,191.1724137931035,0.0,1386.0,2023-07-01,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AZQ32-166560,466680,1137.9310344827586,182.06896551724137,0.0,1320.0,2023-07-05,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AZQ08-165712,394869,1034.4827586206898,165.51724137931038,0.0,1200.0,2023-07-02,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AWX01-170840,435952,853.4482758620691,136.55172413793105,0.0,990.0,2023-07-04,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AWX28-171077,453088,853.4482758620691,136.55172413793105,0.0,990.0,2023-07-05,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AWX35-171597,492341,853.4482758620691,136.55172413793105,0.0,990.0,2023-07-07,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AZK01-127743,497639,853.4482758620691,136.55172413793105,0.0,990.0,2023-07-07,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AZQ50-165126,350503,775.8620689655173,124.13793103448278,0.0,900.0,2023-07-01,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AWX35-169647,351733,775.8620689655173,124.13793103448278,0.0,900.0,2023-07-01,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AZQ54-165361,366836,775.8620689655173,124.13793103448278,0.0,900.0,2023-07-01,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AZJ25-158624,379349,775.8620689655173,124.13793103448278,0.0,900.0,2023-07-02,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AZU25-177345,466382,758.6206896551724,121.37931034482759,0.0,880.0,2023-07-05,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AWX27-170832,435159,568.9655172413793,91.03448275862068,0.0,660.0,2023-07-04,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AWI04-160984,456032,568.9655172413793,91.03448275862068,0.0,660.0,2023-07-05,2023-07-04,30653.0,3692.0,140.0,34485.0
1596,AZK34-127525,476291,568.9655172413793,91.03448275862068,0.0,660.0,2023-07-06,2023-07-04,30653.0,3692.0,140.0,34485.0
